[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [INSTRUMENT_NAME], [BASE_CURRENCY], [CONTRACT_SIZE], [UNDERLYING_INDEX], [UNDERLYING_PRICE], [EXPIRY_DATE], [EXPIRY_UNIX], [EXPIRY_TIME], [DTE], [OPTION_RIGHT], [STRIKE], [BID_SIZE], [BID_PRICE], [ASK_PRICE], [ASK_SIZE], [OPEN_INTEREST], [VOLUME], [DELTA], [GAMMA], [VEGA], [THETA], [RHO], [MARK_IV], [STRIKE_DISTANCE_PCT]
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-12000-C, BTC, 1.000000, BTC-24SEP21, 34499.010000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 12000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 25.100000, 3.200000, 0.978650, 0.000000, 8.920260, -5.819350, 28.213050, 121.560000, 0.647620
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-12000-P, BTC, 1.000000, BTC-24SEP21, 34375.210000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 12000.000000, 60.500000, 0.005500, 0.007000, 1.500000, 339.300000, 6.200000, -0.021660, 0.000000, 8.997200, -5.870320, -2.444670, 121.570000, 0.646440
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-16000-C, BTC, 1.000000, BTC-24SEP21, 34477.960000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 16000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 80.800000, 0.400000, 0.950460, 0.000010, 17.832550, -10.623360, 35.196920, 111.000000, 0.529870
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-16000-P, BTC, 1.000000, BTC-24SEP21, 34398.160000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 16000.000000, 28.000000, 0.014000, 0.015500, 15.900000, 649.400000, 33.700000, -0.049960, 0.000010, 17.913550, -10.672020, -5.680920, 111.010000, 0.528880
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-18000-C, BTC, 1.000000, BTC-24SEP21, 34396.820000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 18000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 100.500000, , 0.928440, 0.000010, 23.731680, -13.686360, 37.746840, 107.460000, 0.470000
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-18000-P, BTC, 1.000000, BTC-24SEP21, 34500.690000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 18000.000000, 0.600000, 0.021000, 0.022500, 16.400000, 277.100000, 56.900000, -0.070800, 0.000010, 23.607900, -13.613820, -8.130370, 107.450000, 0.471290
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-20000-C, BTC, 1.000000, BTC-24SEP21, 34409.610000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 20000.000000, 10.000000, 0.418500, 0.000000, 0.000000, 804.300000, 5.200000, 0.901620, 0.000010, 30.147070, -16.926760, 39.668430, 104.620000, 0.411230
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-20000-P, BTC, 1.000000, BTC-24SEP21, 34504.180000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 20000.000000, 1.700000, 0.030000, 0.032000, 16.900000, 1180.100000, 193.700000, -0.097480, 0.000010, 30.027220, -16.859010, -11.302260, 104.620000, 0.412820
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-24000-C, BTC, 1.000000, BTC-24SEP21, 34464.480000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 24000.000000, 0.400000, 0.319000, 0.000000, 0.000000, 154.000000, , 0.833080, 0.000010, 43.547600, -23.496660, 41.454130, 100.540000, 0.294570
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-24000-P, BTC, 1.000000, BTC-24SEP21, 34404.220000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 24000.000000, 1.000000, 0.058000, 0.059500, 0.500000, 734.000000, 60.900000, -0.167790, 0.000010, 43.616470, -23.534650, -19.882370, 100.540000, 0.293480
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-26000-C, BTC, 1.000000, BTC-24SEP21, 34414.420000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 26000.000000, 0.400000, 0.266500, 0.630000, 1.000000, 341.100000, 0.200000, 0.791000, 0.000020, 49.968530, -26.613180, 41.222930, 99.240000, 0.234650
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-26000-P, BTC, 1.000000, BTC-24SEP21, 34472.490000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 26000.000000, 2.000000, 0.076500, 0.078000, 10.200000, 686.700000, 53.900000, -0.208030, 0.000020, 49.916350, -26.584500, -25.056760, 99.240000, 0.235900
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-28000-C, BTC, 1.000000, BTC-24SEP21, 34501.060000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 28000.000000, 0.400000, 0.223500, 0.000000, 0.000000, 0.000000, , 0.748160, 0.000020, 55.605710, -29.333400, 40.618430, 98.300000, 0.177840
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-28000-P, BTC, 1.000000, BTC-24SEP21, 34441.110000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 28000.000000, 1.000000, 0.099000, 0.100500, 0.600000, 144.700000, 28.200000, -0.252960, 0.000020, 55.639730, -29.356560, -30.953190, 98.310000, 0.176130
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-30000-C, BTC, 1.000000, BTC-24SEP21, 34493.770000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 30000.000000, 0.500000, 0.207000, 0.000000, 0.000000, 41.900000, 41.900000, 0.701830, 0.000020, 60.424230, -31.596060, 39.430550, 97.430000, 0.119060
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-30000-P, BTC, 1.000000, BTC-24SEP21, 34503.440000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 30000.000000, 1.300000, 0.123000, 0.124500, 0.700000, 201.800000, 15.100000, -0.297970, 0.000020, 60.422940, -31.595710, -37.127570, 97.440000, 0.119110
